epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
51,4390.59,0.47084,0.28898,1.10521,0.00934,0.98055,0.99222,0.99387,0.95234,0.30411,0.19067,1.00673,0.00415,0.00497603,0.00497603,0.00497603
52,4476.3,0.47327,0.28793,1.11034,0.00993,0.98441,0.98444,0.99379,0.95411,0.30145,0.18731,1.00688,0.00391,0.00495636,0.00495636,0.00495636
53,4562.32,0.47291,0.28779,1.12852,0.00981,0.98359,0.99094,0.99379,0.95195,0.30165,0.18147,1.00627,0.00327,0.0049367,0.0049367,0.0049367
54,4647.51,0.47781,0.29235,1.11792,0.0095,0.98167,0.98987,0.99388,0.94457,0.32981,0.19665,1.03403,0.00386,0.00491703,0.00491703,0.00491703
55,4733.04,0.47096,0.28603,1.11309,0.00919,0.98251,0.98638,0.99413,0.94919,0.30948,0.18986,1.0199,0.00351,0.00489736,0.00489736,0.00489736
56,4818.56,0.4712,0.28731,1.12403,0.01112,0.98263,0.98735,0.99417,0.95164,0.30884,0.1891,1.01351,0.00336,0.0048777,0.0048777,0.0048777
57,4903.98,0.47233,0.29867,1.11199,0.00989,0.98446,0.98597,0.99415,0.94812,0.31763,0.18785,1.01867,0.0039,0.00485803,0.00485803,0.00485803
58,4989.65,0.47614,0.29417,1.1183,0.00947,0.98726,0.98004,0.99422,0.94866,0.31539,0.19174,1.01425,0.00367,0.00483837,0.00483837,0.00483837
59,5075.36,0.47287,0.29547,1.11354,0.0095,0.98297,0.9893,0.99426,0.9527,0.31934,0.19314,1.02713,0.00361,0.0048187,0.0048187,0.0048187
60,5160.87,0.47284,0.28723,1.11399,0.00938,0.98729,0.98541,0.99421,0.95356,0.30401,0.17886,1.01793,0.00336,0.00479904,0.00479904,0.00479904
61,5246.54,0.47112,0.29395,1.11814,0.00851,0.98261,0.98932,0.99399,0.95098,0.31031,0.18789,1.01003,0.00359,0.00477937,0.00477937,0.00477937
62,5332.29,0.46294,0.28423,1.1087,0.00886,0.9774,0.99222,0.99425,0.95098,0.31576,0.18686,1.01716,0.0042,0.0047597,0.0047597,0.0047597
63,5417.81,0.4687,0.28214,1.12039,0.00902,0.98353,0.9877,0.99412,0.95474,0.29846,0.18184,0.99748,0.00347,0.00474004,0.00474004,0.00474004
64,5503.53,0.45435,0.27373,1.09884,0.00819,0.98144,0.99222,0.9941,0.95124,0.3086,0.1856,1.00473,0.00471,0.00472037,0.00472037,0.00472037
65,5589.15,0.46096,0.28029,1.09246,0.00874,0.98258,0.98766,0.99321,0.95482,0.30083,0.17857,1.01025,0.00338,0.00470071,0.00470071,0.00470071
66,5675.34,0.46237,0.28123,1.10054,0.0092,0.98927,0.98617,0.99404,0.95283,0.30277,0.18047,1.01199,0.00327,0.00468104,0.00468104,0.00468104
67,5761.07,0.46601,0.28264,1.10086,0.00986,0.98263,0.99064,0.99396,0.95031,0.30791,0.18197,1.01181,0.00375,0.00466138,0.00466138,0.00466138
68,5846.67,0.46311,0.27954,1.11126,0.00938,0.98166,0.98919,0.99416,0.95211,0.30444,0.1844,1.00962,0.00393,0.00464171,0.00464171,0.00464171
69,5932.53,0.47487,0.29163,1.11949,0.0085,0.98602,0.98541,0.99417,0.94919,0.31677,0.18685,1.01887,0.00345,0.00462204,0.00462204,0.00462204
70,6018.26,0.46166,0.28297,1.1172,0.00928,0.98965,0.98249,0.99431,0.9539,0.30539,0.17429,1.01264,0.00328,0.00460238,0.00460238,0.00460238
71,6103.92,0.45855,0.28059,1.10641,0.00866,0.98441,0.98281,0.99406,0.95435,0.30421,0.18289,1.01279,0.00357,0.00458271,0.00458271,0.00458271
72,6189.55,0.46501,0.28567,1.1047,0.00884,0.97985,0.99222,0.99366,0.95613,0.29917,0.1731,1.0061,0.00347,0.00456305,0.00456305,0.00456305
73,6275.37,0.46174,0.28934,1.10632,0.00924,0.98165,0.9886,0.99417,0.95327,0.3116,0.18542,1.02247,0.00352,0.00454338,0.00454338,0.00454338
74,6360.98,0.45908,0.27962,1.10346,0.00993,0.97866,0.99125,0.99364,0.94946,0.31613,0.18751,1.0174,0.00405,0.00452372,0.00452372,0.00452372
75,6446.7,0.46442,0.2782,1.11121,0.00885,0.98226,0.98638,0.99398,0.95449,0.29784,0.17754,0.99403,0.00338,0.00450405,0.00450405,0.00450405
76,6532.25,0.45849,0.28401,1.10168,0.00952,0.97887,0.99149,0.9939,0.95545,0.3005,0.18721,0.99808,0.00389,0.00448438,0.00448438,0.00448438
77,6617.81,0.45706,0.27841,1.09727,0.00871,0.97818,0.99027,0.99421,0.95716,0.29399,0.17324,0.98749,0.00363,0.00446472,0.00446472,0.00446472
78,6703.44,0.45962,0.28274,1.10228,0.00922,0.98486,0.99027,0.9941,0.95541,0.29939,0.175,1.0055,0.00378,0.00444505,0.00444505,0.00444505
79,6788.91,0.45703,0.27688,1.10771,0.0095,0.98449,0.9877,0.9942,0.95437,0.29948,0.17274,1.00464,0.003,0.00442539,0.00442539,0.00442539
80,6874.42,0.45392,0.2759,1.09676,0.00902,0.98361,0.99214,0.99403,0.95514,0.29464,0.17171,0.99256,0.00347,0.00440572,0.00440572,0.00440572
81,6959.74,0.45557,0.27663,1.10531,0.00891,0.98503,0.98346,0.99401,0.95475,0.29299,0.17705,0.98985,0.00336,0.00438606,0.00438606,0.00438606
82,7045.2,0.45832,0.27696,1.1038,0.00837,0.98447,0.98662,0.99387,0.95419,0.29969,0.1763,0.99715,0.00379,0.00436639,0.00436639,0.00436639
83,7130.98,0.45816,0.2764,1.1029,0.00879,0.98029,0.98638,0.99411,0.95583,0.29774,0.17445,1.00416,0.00334,0.00434672,0.00434672,0.00434672
84,7216.78,0.45982,0.2727,1.09431,0.00861,0.97969,0.98549,0.99391,0.95516,0.29633,0.1723,0.99973,0.00289,0.00432706,0.00432706,0.00432706
85,7302.51,0.45355,0.26798,1.10055,0.00813,0.98075,0.99117,0.99434,0.95611,0.29257,0.17085,0.99283,0.00298,0.00430739,0.00430739,0.00430739
86,7388.29,0.45805,0.27903,1.09907,0.00894,0.98446,0.99125,0.99431,0.95833,0.29247,0.17136,1.00278,0.00276,0.00428773,0.00428773,0.00428773
87,7473.95,0.44847,0.2677,1.09709,0.00807,0.97859,0.99027,0.99409,0.95803,0.29207,0.16698,0.99749,0.00322,0.00426806,0.00426806,0.00426806
88,7559.97,0.44988,0.27367,1.09147,0.00791,0.98356,0.98958,0.9941,0.9559,0.29167,0.16891,0.99058,0.00309,0.00424839,0.00424839,0.00424839
89,7645.63,0.4564,0.27344,1.10133,0.00881,0.97981,0.99122,0.99399,0.95591,0.29887,0.1745,1.00476,0.00318,0.00422873,0.00422873,0.00422873
90,7731.47,0.45029,0.26847,1.09768,0.00842,0.98096,0.99319,0.9941,0.95826,0.29239,0.16834,0.98764,0.00361,0.00420906,0.00420906,0.00420906
91,7817.44,0.45404,0.27304,1.09258,0.00846,0.98071,0.98925,0.99375,0.95565,0.29872,0.17401,1.00306,0.00307,0.0041894,0.0041894,0.0041894
92,7903.28,0.44917,0.27352,1.09203,0.00833,0.97607,0.99177,0.99421,0.95774,0.29237,0.17121,0.98682,0.00319,0.00416973,0.00416973,0.00416973
93,7989.1,0.44552,0.26417,1.08772,0.00829,0.98035,0.9893,0.99393,0.95878,0.29304,0.16722,0.99632,0.00313,0.00415007,0.00415007,0.00415007
94,8075.15,0.44495,0.26529,1.09508,0.00773,0.98244,0.9893,0.99388,0.95912,0.29117,0.16889,0.99442,0.0029,0.0041304,0.0041304,0.0041304
95,8161.14,0.45038,0.26476,1.08567,0.00803,0.98451,0.98891,0.99403,0.95418,0.29997,0.16548,1.00656,0.00316,0.00411073,0.00411073,0.00411073
