epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1163.55,0.14929,0.13061,0.76057,0.99408,0.99372,0.99488,0.84891,0.64566,0.33266,0.85219,0.000262523,0.000262523,0.000262523
67,1180.7,0.14402,0.12405,0.7599,0.99408,0.99336,0.99488,0.83766,0.64168,0.33826,0.8504,0.00026142,0.00026142,0.00026142
68,1197.85,0.14625,0.12748,0.75962,0.99408,0.99398,0.99488,0.84335,0.64839,0.34145,0.85486,0.000260317,0.000260317,0.000260317
69,1215.06,0.14701,0.1279,0.75937,0.99344,0.99408,0.99494,0.84217,0.64615,0.34579,0.85048,0.000259214,0.000259214,0.000259214
70,1232.33,0.14588,0.12851,0.76029,0.99362,0.99408,0.99494,0.84513,0.64278,0.34001,0.84965,0.000258111,0.000258111,0.000258111
71,1249.51,0.14273,0.12748,0.76012,0.99408,0.99376,0.99488,0.84704,0.64664,0.33539,0.85058,0.000257008,0.000257008,0.000257008
72,1266.66,0.13874,0.12143,0.75982,0.99408,0.99388,0.99488,0.83398,0.64173,0.3386,0.85017,0.000255905,0.000255905,0.000255905
73,1283.79,0.14058,0.12302,0.75922,0.99408,0.99363,0.99488,0.84463,0.63998,0.33962,0.84994,0.000254802,0.000254802,0.000254802
74,1300.97,0.14091,0.12219,0.75948,0.99408,0.9936,0.99494,0.84332,0.64848,0.34072,0.85034,0.0002537,0.0002537,0.0002537
75,1318.2,0.13859,0.12047,0.76026,0.99407,0.9926,0.99494,0.84624,0.63796,0.33896,0.8501,0.000252597,0.000252597,0.000252597
76,1335.35,0.14244,0.123,0.76011,0.99408,0.9929,0.99482,0.84237,0.64319,0.34868,0.85443,0.000251494,0.000251494,0.000251494
77,1352.42,0.13749,0.11975,0.75928,0.99408,0.99319,0.99488,0.84384,0.65063,0.34019,0.85331,0.000250391,0.000250391,0.000250391
78,1369.5,0.13969,0.12196,0.75995,0.99407,0.99275,0.99488,0.83985,0.64863,0.33089,0.84997,0.000249288,0.000249288,0.000249288
79,1386.65,0.14371,0.12342,0.75927,0.99407,0.9926,0.99494,0.84091,0.64161,0.3494,0.85201,0.000248185,0.000248185,0.000248185
80,1403.79,0.13782,0.1193,0.75973,0.99405,0.98777,0.99488,0.84073,0.63856,0.34212,0.85069,0.000247082,0.000247082,0.000247082
