epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2684.92,0.3886,0.25672,0.81409,0.99379,0.99408,0.9947,0.87303,0.56435,0.27128,0.82108,0.000511816,0.000511816,0.000511816
71,2723.11,0.39466,0.25622,0.81908,0.99408,0.99364,0.9947,0.87346,0.56781,0.28518,0.82755,0.000509629,0.000509629,0.000509629
72,2761.24,0.38749,0.25232,0.81727,0.99278,1,0.99447,0.86961,0.56313,0.27454,0.82862,0.000507442,0.000507442,0.000507442
73,2799.02,0.38804,0.25435,0.8171,0.99408,0.99371,0.99263,0.86364,0.57729,0.27994,0.8284,0.000505255,0.000505255,0.000505255
74,2836.91,0.38645,0.25179,0.81633,0.99242,1,0.99435,0.86769,0.56657,0.2759,0.82533,0.000503068,0.000503068,0.000503068
75,2874.95,0.37963,0.25332,0.81182,0.99388,1,0.99424,0.86466,0.56921,0.26865,0.82272,0.000500881,0.000500881,0.000500881
76,2912.64,0.37948,0.24647,0.81423,0.99408,0.994,0.99435,0.86917,0.56992,0.28067,0.82571,0.000498694,0.000498694,0.000498694
77,2950.43,0.3746,0.2488,0.80995,0.99411,0.99954,0.99447,0.86925,0.57101,0.27579,0.82387,0.000496507,0.000496507,0.000496507
78,2988.26,0.38156,0.24802,0.8137,0.99412,0.99962,0.99441,0.87887,0.5434,0.26797,0.8192,0.00049432,0.00049432,0.00049432
79,3026.29,0.37982,0.24753,0.81237,0.99408,0.99401,0.99459,0.87463,0.55968,0.2739,0.82267,0.000492133,0.000492133,0.000492133
80,3064.36,0.37568,0.2477,0.81584,0.99306,1,0.994,0.87227,0.57438,0.27576,0.82341,0.000489946,0.000489946,0.000489946
81,3102.37,0.37034,0.24509,0.80864,0.99391,1,0.99453,0.87165,0.55426,0.26933,0.82091,0.000487759,0.000487759,0.000487759
82,3140.47,0.37157,0.24477,0.81016,0.99382,1,0.99459,0.87765,0.55947,0.27473,0.82006,0.000485572,0.000485572,0.000485572
83,3178.42,0.37561,0.24406,0.81964,0.99412,0.99962,0.99353,0.86965,0.57181,0.28574,0.82324,0.000483385,0.000483385,0.000483385
84,3216.48,0.36865,0.2448,0.81265,0.99412,0.99983,0.99271,0.88154,0.54496,0.26395,0.81455,0.000481199,0.000481199,0.000481199
85,3254.58,0.36577,0.24177,0.81475,0.99361,0.99408,0.99358,0.87432,0.58806,0.2807,0.8236,0.000479012,0.000479012,0.000479012
86,3292.62,0.37327,0.2471,0.81436,0.98754,1,0.99405,0.87362,0.55733,0.2713,0.8193,0.000476825,0.000476825,0.000476825
87,3330.68,0.36803,0.24042,0.81401,0.9937,1,0.99241,0.87266,0.55975,0.27249,0.81986,0.000474638,0.000474638,0.000474638
88,3368.75,0.37106,0.23993,0.81737,0.99383,1,0.99141,0.86135,0.5748,0.27521,0.82131,0.000472451,0.000472451,0.000472451
89,3406.71,0.36613,0.24119,0.81112,0.99412,0.99972,0.99453,0.87296,0.55676,0.26771,0.82181,0.000470264,0.000470264,0.000470264
90,3444.81,0.36127,0.24079,0.80682,0.99353,1,0.99324,0.87251,0.55405,0.26567,0.81991,0.000468077,0.000468077,0.000468077
91,3482.57,0.36014,0.2366,0.80966,0.99375,1,0.99265,0.88165,0.52641,0.25689,0.81615,0.00046589,0.00046589,0.00046589
92,3520.57,0.35193,0.23495,0.81295,0.99411,0.99939,0.99347,0.87608,0.54443,0.26052,0.81948,0.000463703,0.000463703,0.000463703
93,3558.71,0.36014,0.23471,0.81405,0.99372,0.99408,0.99376,0.87678,0.55522,0.26104,0.82277,0.000461516,0.000461516,0.000461516
94,3596.75,0.35781,0.23633,0.815,0.99389,0.99408,0.99393,0.87315,0.56806,0.26812,0.82224,0.000459329,0.000459329,0.000459329
95,3634.82,0.35067,0.23142,0.81388,0.99398,0.99408,0.99346,0.86872,0.54748,0.26522,0.82188,0.000457142,0.000457142,0.000457142
96,3672.67,0.36118,0.23682,0.81367,0.99373,0.99408,0.9937,0.86838,0.54428,0.26307,0.82042,0.000454955,0.000454955,0.000454955
97,3710.62,0.34413,0.22894,0.80985,0.99408,0.99383,0.99417,0.87151,0.56339,0.26117,0.82259,0.000452768,0.000452768,0.000452768
98,3748.78,0.35725,0.23547,0.81101,0.99411,0.99937,0.994,0.87966,0.55384,0.26163,0.82103,0.000450581,0.000450581,0.000450581
99,3786.59,0.35048,0.237,0.80843,0.99371,1,0.99376,0.86965,0.56124,0.2615,0.82285,0.000448394,0.000448394,0.000448394
100,3824.69,0.34863,0.23164,0.81346,0.99364,1,0.99271,0.8741,0.5466,0.2599,0.82234,0.000446207,0.000446207,0.000446207
101,3862.83,0.34794,0.23227,0.81075,0.99408,0.99373,0.99364,0.88055,0.54423,0.26207,0.81959,0.00044402,0.00044402,0.00044402
102,3900.91,0.3522,0.23297,0.80985,0.99357,0.99408,0.99423,0.87227,0.5698,0.26678,0.82654,0.000441833,0.000441833,0.000441833
103,3938.77,0.34644,0.23096,0.80753,0.99381,0.99408,0.99192,0.87439,0.56133,0.25635,0.82283,0.000439646,0.000439646,0.000439646
104,3976.93,0.34461,0.22855,0.80941,0.99382,0.99408,0.99388,0.87221,0.53442,0.25378,0.8186,0.000437459,0.000437459,0.000437459
105,4015,0.3492,0.22716,0.80817,0.99412,0.99955,0.99453,0.8766,0.55062,0.25854,0.82007,0.000435272,0.000435272,0.000435272
106,4053,0.34061,0.22831,0.80773,0.99303,1,0.99412,0.87589,0.54635,0.25105,0.82068,0.000433085,0.000433085,0.000433085
107,4091.16,0.34489,0.2277,0.81338,0.99394,1,0.99412,0.86618,0.5648,0.26065,0.8229,0.000430898,0.000430898,0.000430898
108,4129.27,0.35121,0.23219,0.81294,0.99262,1,0.99406,0.87993,0.55145,0.26274,0.82063,0.000428711,0.000428711,0.000428711
109,4167.48,0.33798,0.22434,0.81027,0.99411,0.99946,0.99382,0.87259,0.55215,0.26481,0.8217,0.000426524,0.000426524,0.000426524
110,4205.7,0.33626,0.22674,0.80496,0.99262,1,0.99235,0.88035,0.54237,0.26513,0.81944,0.000424337,0.000424337,0.000424337
111,4243.77,0.3355,0.22122,0.80517,0.99411,0.99887,0.99371,0.87264,0.55938,0.26861,0.8259,0.00042215,0.00042215,0.00042215
112,4281.92,0.34635,0.22944,0.81233,0.99333,1,0.99324,0.8805,0.55203,0.26134,0.81961,0.000419963,0.000419963,0.000419963
113,4319.99,0.33836,0.22585,0.81201,0.99412,0.99957,0.99418,0.88325,0.54348,0.2605,0.82203,0.000417777,0.000417777,0.000417777
114,4357.87,0.33123,0.2227,0.80677,0.99411,0.99951,0.99447,0.87014,0.55067,0.25949,0.82252,0.00041559,0.00041559,0.00041559
115,4395.81,0.33798,0.22406,0.80843,0.99411,0.99954,0.99435,0.87444,0.55122,0.2647,0.82494,0.000413403,0.000413403,0.000413403
116,4433.84,0.3353,0.22163,0.80854,0.99408,0.99386,0.99423,0.87136,0.57369,0.26484,0.82681,0.000411216,0.000411216,0.000411216
117,4471.64,0.33411,0.22069,0.80998,0.99408,0.99362,0.99246,0.87622,0.54965,0.26524,0.82129,0.000409029,0.000409029,0.000409029
118,4509.82,0.32688,0.22597,0.81147,0.99408,0.99367,0.99358,0.87324,0.55827,0.26212,0.8242,0.000406842,0.000406842,0.000406842
119,4547.91,0.32698,0.21966,0.80642,0.99311,0.98817,0.99239,0.87254,0.55152,0.27022,0.82116,0.000404655,0.000404655,0.000404655
120,4586.15,0.32971,0.22271,0.80849,0.99406,0.99408,0.99275,0.88054,0.534,0.25922,0.82035,0.000402468,0.000402468,0.000402468
121,4624.32,0.31848,0.21717,0.80494,0.99408,0.99365,0.99441,0.87599,0.53916,0.26312,0.82114,0.000400281,0.000400281,0.000400281
122,4662.27,0.32578,0.21915,0.80528,0.99412,0.99965,0.99282,0.87406,0.55812,0.25489,0.82359,0.000398094,0.000398094,0.000398094
123,4700.26,0.33281,0.21937,0.80984,0.99379,1,0.99394,0.87426,0.55146,0.25563,0.8223,0.000395907,0.000395907,0.000395907
124,4738.24,0.32491,0.21597,0.80764,0.99412,0.99978,0.99341,0.87797,0.53446,0.25572,0.81796,0.00039372,0.00039372,0.00039372
125,4776.48,0.32732,0.22107,0.80826,0.99331,1,0.99435,0.87897,0.5413,0.25216,0.82013,0.000391533,0.000391533,0.000391533
126,4814.61,0.32146,0.22069,0.80579,0.99411,0.99934,0.99424,0.86787,0.55356,0.26271,0.82159,0.000389346,0.000389346,0.000389346
127,4852.87,0.32652,0.21965,0.80566,0.99411,0.9995,0.99441,0.87996,0.55478,0.25206,0.82241,0.000387159,0.000387159,0.000387159
128,4890.87,0.31535,0.21249,0.80339,0.99412,0.99963,0.99435,0.87635,0.55212,0.25594,0.82159,0.000384972,0.000384972,0.000384972
