epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1491.81,0.61817,0.32295,0.87136,0.99408,0.9936,0.99494,0.85367,0.60198,0.30295,0.8174,0.000118291,0.000118291,0.000118291
55,1518.87,0.61397,0.32181,0.86703,0.99376,0.98817,0.99488,0.85586,0.60656,0.30138,0.81864,0.000117818,0.000117818,0.000117818
56,1545.85,0.60285,0.32151,0.8617,0.99409,0.99613,0.99494,0.85329,0.60941,0.29325,0.81853,0.000117345,0.000117345,0.000117345
57,1572.83,0.60208,0.31367,0.86815,0.99408,0.99377,0.99494,0.85233,0.62055,0.29697,0.81904,0.000116872,0.000116872,0.000116872
58,1599.9,0.6127,0.32075,0.86427,0.99408,0.99365,0.99494,0.85985,0.58355,0.29968,0.81559,0.000116399,0.000116399,0.000116399
59,1627,0.60189,0.32254,0.86781,0.9936,0.98817,0.99477,0.85394,0.58708,0.29587,0.8155,0.000115926,0.000115926,0.000115926
60,1654.04,0.59853,0.31849,0.86512,0.99408,0.99385,0.99494,0.85393,0.61157,0.29617,0.81893,0.000115453,0.000115453,0.000115453
61,1680.95,0.60321,0.31591,0.8691,0.99408,0.99381,0.99494,0.85208,0.59943,0.29194,0.81711,0.00011498,0.00011498,0.00011498
62,1708,0.58437,0.31464,0.86483,0.99408,0.99378,0.99494,0.84597,0.61785,0.30045,0.81881,0.000114507,0.000114507,0.000114507
63,1735.1,0.59171,0.31577,0.86771,0.99408,0.99377,0.99494,0.85568,0.58836,0.28328,0.81634,0.000114033,0.000114033,0.000114033
64,1762.06,0.59944,0.32043,0.86983,0.99408,0.99369,0.99494,0.84912,0.60414,0.29907,0.81747,0.00011356,0.00011356,0.00011356
65,1789.03,0.59783,0.31306,0.86018,0.99408,0.99406,0.99494,0.84697,0.6229,0.30662,0.81942,0.000113087,0.000113087,0.000113087
66,1815.98,0.59026,0.31019,0.86143,0.99411,0.99932,0.99494,0.86773,0.56953,0.28659,0.81421,0.000112614,0.000112614,0.000112614
67,1843.08,0.5842,0.30828,0.85991,0.99407,0.99408,0.99459,0.84667,0.60195,0.29513,0.81766,0.000112141,0.000112141,0.000112141
68,1870.13,0.59041,0.30694,0.86023,0.99404,0.99408,0.99488,0.85657,0.60005,0.2944,0.81619,0.000111668,0.000111668,0.000111668
